REF_DATE,GEO,Statistics,UOM,VALUE
2017-01,Canada,Job vacancies,Number,346495
2017-01,Newfoundland and Labrador,Job vacancies,Number,3120
2017-01,Prince Edward Island,Job vacancies,Number,960
2017-01,Nova Scotia,Job vacancies,Number,6335
2017-01,New Brunswick,Job vacancies,Number,5750
2017-01,Quebec,Job vacancies,Number,57545
2017-01,Ontario,Job vacancies,Number,151645
2017-01,Manitoba,Job vacancies,Number,9720
2017-01,Saskatchewan,Job vacancies,Number,7080
2017-01,Alberta,Job vacancies,Number,39545
2017-01,British Columbia,Job vacancies,Number,63250
2017-01,Yukon,Job vacancies,Number,395
2017-01,Nunavut,Job vacancies,Number,200
2017-02,Canada,Job vacancies,Number,360685
2017-02,Newfoundland and Labrador,Job vacancies,Number,2540
2017-02,Prince Edward Island,Job vacancies,Number,860
2017-02,Nova Scotia,Job vacancies,Number,6085
2017-02,New Brunswick,Job vacancies,Number,4620
2017-02,Quebec,Job vacancies,Number,61830
2017-02,Ontario,Job vacancies,Number,158415
2017-02,Manitoba,Job vacancies,Number,9120
2017-02,Saskatchewan,Job vacancies,Number,7180
2017-02,Alberta,Job vacancies,Number,45760
2017-02,British Columbia,Job vacancies,Number,63260
2017-02,Yukon,Job vacancies,Number,330
2017-02,Northwest Territories,Job vacancies,Number,495
2017-02,Nunavut,Job vacancies,Number,190
2017-03,Canada,Job vacancies,Number,438375
2017-03,Newfoundland and Labrador,Job vacancies,Number,2925
2017-03,Prince Edward Island,Job vacancies,Number,1025
2017-03,Nova Scotia,Job vacancies,Number,8655
2017-03,New Brunswick,Job vacancies,Number,5560
2017-03,Quebec,Job vacancies,Number,75775
2017-03,Ontario,Job vacancies,Number,194155
2017-03,Manitoba,Job vacancies,Number,13570
2017-03,Saskatchewan,Job vacancies,Number,10210
2017-03,Alberta,Job vacancies,Number,45155
2017-03,British Columbia,Job vacancies,Number,80005
2017-03,Yukon,Job vacancies,Number,415
2017-03,Northwest Territories,Job vacancies,Number,465
2017-04,Canada,Job vacancies,Number,466590
2017-04,Newfoundland and Labrador,Job vacancies,Number,4340
2017-04,Prince Edward Island,Job vacancies,Number,2370
2017-04,Nova Scotia,Job vacancies,Number,10150
2017-04,New Brunswick,Job vacancies,Number,9895
2017-04,Quebec,Job vacancies,Number,83400
2017-04,Ontario,Job vacancies,Number,185475
2017-04,Manitoba,Job vacancies,Number,14110
2017-04,Saskatchewan,Job vacancies,Number,12040
2017-04,Alberta,Job vacancies,Number,49360
2017-04,British Columbia,Job vacancies,Number,93515
2017-04,Yukon,Job vacancies,Number,795
2017-04,Northwest Territories,Job vacancies,Number,890
2017-04,Nunavut,Job vacancies,Number,255
2017-05,Canada,Job vacancies,Number,466515
2017-05,Newfoundland and Labrador,Job vacancies,Number,3375
2017-05,Prince Edward Island,Job vacancies,Number,1400
