"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-04","Canada","2016A000011124","Job vacancies","Number","223","units","0","v1212389364","1.1","482925","A","","","0"
"2015-04","Canada","2016A000011124","Payroll employees","Number","223","units","0","v1212389363","1.3","14803985","A","","","0"
"2015-04","Canada","2016A000011124","Job vacancy rate","Percent","239","units","0","v1212389365","1.4","3.2","A","","","1"
"2015-04","Newfoundland and Labrador","2016A000210","Job vacancies","Number","223","units","0","v1212389367","2.1","4770","C","","","0"
"2015-04","Newfoundland and Labrador","2016A000210","Payroll employees","Number","223","units","0","v1212389366","2.3","198160","A","","","0"
"2015-04","Newfoundland and Labrador","2016A000210","Job vacancy rate","Percent","239","units","0","v1212389368","2.4","2.3","C","","","1"
"2015-04","Prince Edward Island","2016A000211","Job vacancies","Number","223","units","0","v1212389370","3.1","1445","D","","","0"
"2015-04","Prince Edward Island","2016A000211","Payroll employees","Number","223","units","0","v1212389369","3.3","52280","A","","","0"
"2015-04","Prince Edward Island","2016A000211","Job vacancy rate","Percent","239","units","0","v1212389371","3.4","2.7","D","","","1"
"2015-04","Nova Scotia","2016A000212","Job vacancies","Number","223","units","0","v1212389373","4.1","13175","B","","","0"
"2015-04","Nova Scotia","2016A000212","Payroll employees","Number","223","units","0","v1212389372","4.3","382870","A","","","0"
"2015-04","Nova Scotia","2016A000212","Job vacancy rate","Percent","239","units","0","v1212389374","4.4","3.3","B","","","1"
"2015-04","New Brunswick","2016A000213","Job vacancies","Number","223","units","0","v1212389376","5.1","9020","B","","","0"
"2015-04","New Brunswick","2016A000213","Payroll employees","Number","223","units","0","v1212389375","5.3","270300","A","","","0"
"2015-04","New Brunswick","2016A000213","Job vacancy rate","Percent","239","units","0","v1212389377","5.4","3.2","B","","","1"
"2015-04","Quebec","2016A000224","Job vacancies","Number","223","units","0","v1212389379","6.1","76640","A","","","0"
"2015-04","Quebec","2016A000224","Payroll employees","Number","223","units","0","v1212389378","6.3","3241755","A","","","0"
"2015-04","Quebec","2016A000224","Job vacancy rate","Percent","239","units","0","v1212389380","6.4","2.3","A","","","1"
"2015-04","Ontario","2016A000235","Job vacancies","Number","223","units","0","v1212389382","7.1","188005","A","","","0"
"2015-04","Ontario","2016A000235","Payroll employees","Number","223","units","0","v1212389381","7.3","5662405","A","","","0"
"2015-04","Ontario","2016A000235","Job vacancy rate","Percent","239","units","0","v1212389383","7.4","3.2","A","","","1"
"2015-04","Manitoba","2016A000246","Job vacancies","Number","223","units","0","v1212389385","8.1","15595","B","","","0"
"2015-04","Manitoba","2016A000246","Payroll employees","Number","223","units","0","v1212389384","8.3","550710","A","","","0"
"2015-04","Manitoba","2016A000246","Job vacancy rate","Percent","239","units","0","v1212389386","8.4","2.8","B","","","1"
"2015-04","Saskatchewan","2016A000247","Job vacancies","Number","223","units","0","v1212389388","9.1","","F","","","0"
