"REF_DATE","GEO","DGUID","Statistics (6B)","Age (15A)","Gender (3)","Highest certificate, diploma or degree (16)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","(%) distribution","Total - Age","Total - Gender","Total - Highest certificate, diploma or degree","","0","units","0","","1.1.1.1.1","100.0","","","","1"
"2021","Canada","2021A000011124","(%) distribution","Total - Age","Total - Gender","No certificate, diploma or degree","","0","units","0","","1.1.1.1.2","16.2","","","","1"
"2021","Canada","2021A000011124","(%) distribution","Total - Age","Total - Gender","High (secondary) school diploma or equivalency certificate","","0","units","0","","1.1.1.1.3","26.7","","","","1"
"2021","Canada","2021A000011124","(%) distribution","Total - Age","Total - Gender","Non-apprenticeship trades certificate or diploma","","0","units","0","","1.1.1.1.7","4.8","","","","1"
"2021","Canada","2021A000011124","(%) distribution","Total - Age","Total - Gender","Apprenticeship certificate","","0","units","0","","1.1.1.1.8","3.9","","","","1"
"2021","Canada","2021A000011124","(%) distribution","Total - Age","Total - Gender","College, CEGEP or other non-university certificate or diploma","","0","units","0","","1.1.1.1.9","18.8","","","","1"
"2021","Canada","2021A000011124","(%) distribution","Total - Age","Total - Gender","University certificate or diploma below bachelor level","","0","units","0","","1.1.1.1.10","3.0","","","","1"
"2021","Canada","2021A000011124","(%) distribution","Total - Age","Total - Gender","Bachelor’s degree or higher","","0","units","0","","1.1.1.1.11","26.7","","","","1"
"2021","Newfoundland and Labrador","2021A000210","(%) distribution","Total - Age","Total - Gender","Total - Highest certificate, diploma or degree","","0","units","0","","2.1.1.1.1","100.0","","","","1"
"2021","Newfoundland and Labrador","2021A000210","(%) distribution","Total - Age","Total - Gender","No certificate, diploma or degree","","0","units","0","","2.1.1.1.2","20.4","","","","1"
"2021","Newfoundland and Labrador","2021A000210","(%) distribution","Total - Age","Total - Gender","High (secondary) school diploma or equivalency certificate","","0","units","0","","2.1.1.1.3","27.6","","","","1"
"2021","Newfoundland and Labrador","2021A000210","(%) distribution","Total - Age","Total - Gender","Non-apprenticeship trades certificate or diploma","","0","units","0","","2.1.1.1.7","4.9","","","","1"
"2021","Newfoundland and Labrador","2021A000210","(%) distribution","Total - Age","Total - Gender","Apprenticeship certificate","","0","units","0","","2.1.1.1.8","4.9","","","","1"
"2021","Newfoundland and Labrador","2021A000210","(%) distribution","Total - Age","Total - Gender","College, CEGEP or other non-university certificate or diploma","","0","units","0","","2.1.1.1.9","23.4","","","","1"
"2021","Newfoundland and Labrador","2021A000210","(%) distribution","Total - Age","Total - Gender","University certificate or diploma below bachelor level","","0","units","0","","2.1.1.1.10","2.0","","","","1"
"2021","Newfoundland and Labrador","2021A000210","(%) distribution","Total - Age","Total - Gender","Bachelor’s degree or higher","","0","units","0","","2.1.1.1.11","16.6","","","","1"
"2021","Prince Edward Island","2021A000211","(%) distribution","Total - Age","Total - Gender","Total - Highest certificate, diploma or degree","","0","units","0","","7.1.1.1.1","100.0","","","","1"
"2021","Prince Edward Island","2021A000211","(%) distribution","Total - Age","Total - Gender","No certificate, diploma or degree","","0","units","0","","7.1.1.1.2","16.1","","","","1"
"2021","Prince Edward Island","2021A000211","(%) distribution","Total - Age","Total - Gender","High (secondary) school diploma or equivalency certificate","","0","units","0","","7.1.1.1.3","28.4","","","","1"
"2021","Prince Edward Island","2021A000211","(%) distribution","Total - Age","Total - Gender","Non-apprenticeship trades certificate or diploma","","0","units","0","","7.1.1.1.7","3.4","","","","1"
"2021","Prince Edward Island","2021A000211","(%) distribution","Total - Age","Total - Gender","Apprenticeship certificate","","0","units","0","","7.1.1.1.8","3.1","","","","1"
"2021","Prince Edward Island","2021A000211","(%) distribution","Total - Age","Total - Gender","College, CEGEP or other non-university certificate or diploma","","0","units","0","","7.1.1.1.9","24.5","","","","1"
"2021","Prince Edward Island","2021A000211","(%) distribution","Total - Age","Total - Gender","University certificate or diploma below bachelor level","","0","units","0","","7.1.1.1.10","2.6","","","","1"
"2021","Prince Edward Island","2021A000211","(%) distribution","Total - Age","Total - Gender","Bachelor’s degree or higher","","0","units","0","","7.1.1.1.11","22.0","","","","1"
"2021","Nova Scotia","2021A000212","(%) distribution","Total - Age","Total - Gender","Total - Highest certificate, diploma or degree","","0","units","0","","10.1.1.1.1","100.0","","","","1"
"2021","Nova Scotia","2021A000212","(%) distribution","Total - Age","Total - Gender","No certificate, diploma or degree","","0","units","0","","10.1.1.1.2","16.8","","","","1"
"2021","Nova Scotia","2021A000212","(%) distribution","Total - Age","Total - Gender","High (secondary) school diploma or equivalency certificate","","0","units","0","","10.1.1.1.3","26.9","","","","1"
