"REF_DATE","GEO","DGUID","Age group","Reasons not looking for work","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada","2021A000011124","Total, 15 years and over","Total, not in the labour force","Number of persons","Number","223","units","0","v1586031564","1.1.1.1","1457780","","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Total, not in the labour force","Number of persons","Number","223","units","0","v1586031564","1.1.1.1","1690960","","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Total, not in the labour force","Low 95% confidence interval, number of persons","Number","223","units","0","v1586031565","1.1.1.2","1391940","","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Total, not in the labour force","Low 95% confidence interval, number of persons","Number","223","units","0","v1586031565","1.1.1.2","1614130","","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Total, not in the labour force","High 95% confidence interval, number of persons","Number","223","units","0","v1586031566","1.1.1.3","1515950","","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Total, not in the labour force","High 95% confidence interval, number of persons","Number","223","units","0","v1586031566","1.1.1.3","1759500","","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Total, not in the labour force","Percentage of persons","Percent","239","units","0","v1586031567","1.1.1.4","100.0","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Total, not in the labour force","Percentage of persons","Percent","239","units","0","v1586031567","1.1.1.4","100.0","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Total, not in the labour force","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031568","1.1.1.5","100.0","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Total, not in the labour force","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031568","1.1.1.5","100.0","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Total, not in the labour force","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031569","1.1.1.6","100.0","","","","1"
